transaction_id,customer_id,card_number,timestamp,merchant_category,merchant_type,merchant,amount,currency,country,city,city_size,card_type,card_present,device,channel,device_fingerprint,ip_address,distance_from_home,high_risk_merchant,transaction_hour,weekend_transaction,velocity_last_hour,is_fraud
TX_a0ad2a2a,CUST_72886,6646734767813109,2024-09-30 00:00:01.034820+00:00,Restaurant,fast_food,Taco Bell,294.87,GBP,UK,Unknown City,medium,Platinum Credit,False,iOS App,mobile,e8e6160445c935fd0001501e4cbac8bc,197.153.60.199,0,False,0,False,"{'num_transactions': 1197, 'total_amount': 33498556.080464985, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1925480.6324148502}",False
TX_3599c101,CUST_70474,376800864692727,2024-09-30 00:00:01.764464+00:00,Entertainment,gaming,Steam,3368.97,BRL,Brazil,Unknown City,medium,Platinum Credit,False,Edge,web,a73043a57091e775af37f252b3a32af9,208.123.221.203,1,True,0,False,"{'num_transactions': 509, 'total_amount': 20114759.055250417, 'unique_merchants': 100, 'unique_countries': 12, 'max_single_amount': 5149117.011434267}",True
TX_a9461c6d,CUST_10715,5251909460951913,2024-09-30 00:00:02.273762+00:00,Grocery,physical,Whole Foods,102582.38,JPY,Japan,Unknown City,medium,Platinum Credit,False,Firefox,web,218864e94ceaa41577d216b149722261,10.194.159.204,0,False,0,False,"{'num_transactions': 332, 'total_amount': 39163854.72992601, 'unique_merchants': 97, 'unique_countries': 12, 'max_single_amount': 1852242.1831665323}",False
TX_7be21fc4,CUST_16193,376079286931183,2024-09-30 00:00:02.297466+00:00,Gas,major,Exxon,630.6,AUD,Australia,Unknown City,medium,Premium Debit,False,iOS App,mobile,70423fa3a1e74d01203cf93b51b9631d,17.230.177.225,0,False,0,False,"{'num_transactions': 764, 'total_amount': 22012599.81898404, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2055798.460682913}",False
TX_150f490b,CUST_87572,6172948052178810,2024-09-30 00:00:02.544063+00:00,Healthcare,medical,Medical Center,724949.27,NGN,Nigeria,Unknown City,medium,Basic Debit,False,Chrome,web,9880776c7b6038f2af86bd4e18a1b1a4,136.241.219.151,1,False,0,False,"{'num_transactions': 218, 'total_amount': 4827636.199648165, 'unique_merchants': 88, 'unique_countries': 12, 'max_single_amount': 1157231.252130005}",True
TX_7fb62ea6,CUST_55630,6771346275824473,2024-09-30 00:00:03.050458+00:00,Education,online,Coursera,11.76,BRL,Brazil,Unknown City,medium,Platinum Credit,False,Chrome,web,f79b73f19703d83fbfc2736f24cb108c,184.56.130.84,1,False,0,False,"{'num_transactions': 1130, 'total_amount': 69569641.16535725, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 5374607.870620787}",True
TX_e0d7eb37,CUST_89147,371305533183152,2024-09-30 00:00:03.149440+00:00,Grocery,online,Instacart,2606.19,BRL,Brazil,Unknown City,medium,Platinum Credit,False,Android App,mobile,20464622be96fda2c75ee7d3698c004d,163.189.239.227,0,False,0,False,"{'num_transactions': 1392, 'total_amount': 60777372.89105146, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 5601532.844658206}",False
TX_eb55c2be,CUST_10150,5927166525373625,2024-09-30 00:00:06.295911+00:00,Travel,hotels,Westin,828.33,EUR,Germany,Unknown City,medium,Platinum Credit,False,Edge,web,170a1d12ba71772366076fd302fe29ca,122.115.119.11,0,True,0,False,"{'num_transactions': 352, 'total_amount': 8690903.098021716, 'unique_merchants': 101, 'unique_countries': 12, 'max_single_amount': 1144374.9551450135}",False
TX_eb63010a,CUST_83143,5029335992770061,2024-09-30 00:00:06.813965+00:00,Healthcare,medical,Medical Center,104921.0,NGN,Nigeria,Unknown City,medium,Premium Debit,False,Edge,web,44a2dde7b410ab3f71344022d1940d4b,103.121.115.91,0,False,0,False,"{'num_transactions': 618, 'total_amount': 78406163.60312784, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 3924222.8930350402}",False
TX_b0cd71e2,CUST_35022,4412911822339760,2024-09-30 00:00:07.105592+00:00,Retail,online,eBay,51521.84,MXN,Mexico,Unknown City,medium,Premium Debit,True,NFC Payment,pos,fbff6151bf7ab2d768a4646aad2cc5b2,3.35.80.156,1,False,0,False,"{'num_transactions': 723, 'total_amount': 14463622.255731769, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 949518.6258505383}",True
TX_77c32a20,CUST_64274,4669676651762818,2024-09-30 00:00:07.583345+00:00,Gas,major,Exxon,34644.57,RUB,Russia,Unknown City,medium,Premium Debit,False,Chrome,web,f407365729dda70680233b3d1c5ed4dc,80.121.129.236,0,False,0,False,"{'num_transactions': 341, 'total_amount': 21968094.553936485, 'unique_merchants': 98, 'unique_countries': 12, 'max_single_amount': 3135019.770297911}",False
TX_96c732ec,CUST_65989,4135745832575997,2024-09-30 00:00:07.780617+00:00,Healthcare,pharmacy,DuaneReade,529.57,EUR,France,Unknown City,medium,Gold Credit,False,Edge,web,77bb34bbf13ff6459c916f6a410c3dcf,241.85.54.78,0,False,0,False,"{'num_transactions': 600, 'total_amount': 17663780.465854783, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 4776733.368605039}",False
TX_e9daa8b9,CUST_82514,376042685000372,2024-09-30 00:00:10.429065+00:00,Restaurant,premium,Nobu,266.93,EUR,Germany,Unknown City,medium,Basic Credit,False,Android App,mobile,ab61987145d7487914fb71e47e446dcc,21.181.2.255,0,False,0,False,"{'num_transactions': 181, 'total_amount': 1715528.3980596424, 'unique_merchants': 84, 'unique_countries': 11, 'max_single_amount': 535527.2349805108}",False
TX_6da72d5a,CUST_42282,375133309224224,2024-09-30 00:00:10.953172+00:00,Grocery,online,FreshDirect,36.99,RUB,Russia,Unknown City,medium,Gold Credit,True,Chip Reader,pos,e6a5729fdc3e4591725b68dd644e2229,83.102.141.2,1,False,0,False,"{'num_transactions': 958, 'total_amount': 24126036.25093432, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2999067.8942152923}",True
TX_4088083b,CUST_79886,5143965701177744,2024-09-30 00:00:12.862261+00:00,Entertainment,events,StubHub,659.9,EUR,Germany,Unknown City,medium,Platinum Credit,False,Firefox,web,e9400dc20b70380b4b67cdde313c6d2b,130.147.254.102,1,True,0,False,"{'num_transactions': 24, 'total_amount': 7220301.518600593, 'unique_merchants': 22, 'unique_countries': 6, 'max_single_amount': 780065.6940438194}",False
TX_1f7b28d8,CUST_80907,5808461700803452,2024-09-30 00:00:13.469333+00:00,Education,supplies,University Bookstore,486.08,CAD,Canada,Unknown City,medium,Premium Debit,False,Firefox,web,cad5ec94a9f46a5c7defe6614d206fa2,168.219.45.121,0,False,0,False,"{'num_transactions': 1592, 'total_amount': 43551714.19606143, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 3012013.7055738037}",False
TX_ff845053,CUST_81861,5540497177249905,2024-09-30 00:00:13.519027+00:00,Travel,airlines,American Airlines,1119.04,EUR,Germany,Unknown City,medium,Premium Debit,False,Safari,web,d73647bcaacd7ac013b5192ef052cbe9,169.11.184.37,0,True,0,False,"{'num_transactions': 235, 'total_amount': 3605757.3707321202, 'unique_merchants': 85, 'unique_countries': 12, 'max_single_amount': 831768.7298695683}",False
TX_5f8cee2f,CUST_75970,6434420833335238,2024-09-30 00:00:14.494264+00:00,Retail,physical,Home Depot,7842.65,BRL,Brazil,Unknown City,medium,Platinum Credit,False,Firefox,web,36e0eaa64b503cf5752f6ec360668083,199.133.131.206,0,False,0,False,"{'num_transactions': 62, 'total_amount': 3565113.3869299595, 'unique_merchants': 44, 'unique_countries': 10, 'max_single_amount': 973634.8877410733}",False
TX_1049fbf4,CUST_75986,5099194918930738,2024-09-30 00:00:16.465739+00:00,Restaurant,premium,Morton's,423.32,EUR,Germany,Unknown City,medium,Premium Debit,False,Firefox,web,fe489f4436b58d14d02bb66e55bbf770,109.116.113.238,0,False,0,False,"{'num_transactions': 754, 'total_amount': 19747125.287881117, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2562731.2961403797}",False
TX_0d3c6df5,CUST_75433,5461777822781617,2024-09-30 00:00:18.957278+00:00,Entertainment,events,Ticketmaster,371.45,EUR,Germany,Unknown City,medium,Gold Credit,False,Edge,web,0a98468e4338d76de9e82051b2b545da,226.180.224.20,0,True,0,False,"{'num_transactions': 110, 'total_amount': 7725089.721739177, 'unique_merchants': 61, 'unique_countries': 12, 'max_single_amount': 4584664.545307987}",False
TX_19048aa5,CUST_88251,4407619965785783,2024-09-30 00:00:18.981881+00:00,Education,online,Skillshare,2012.67,NGN,Nigeria,Unknown City,medium,Basic Debit,True,Magnetic Stripe,pos,67cbdf10a44471aba26389b183d092c4,105.143.198.170,1,False,0,False,"{'num_transactions': 421, 'total_amount': 13170394.924074968, 'unique_merchants': 101, 'unique_countries': 12, 'max_single_amount': 1958471.6773951007}",True
TX_659e6e91,CUST_69581,4602114761349755,2024-09-30 00:00:19.234126+00:00,Gas,local,Local Gas Station,85891.17,NGN,Nigeria,Unknown City,medium,Basic Credit,False,Android App,mobile,6abf790610bcc501a3259445fb1a2f1d,26.253.184.227,1,False,0,False,"{'num_transactions': 1268, 'total_amount': 41536731.01014627, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 3407688.8237259774}",False
TX_f1391216,CUST_97149,4802380934486414,2024-09-30 00:00:21.300404+00:00,Gas,major,Texaco,538.14,SGD,Singapore,Unknown City,medium,Premium Debit,False,Edge,web,634a2e810a7c19c2acc3ac045d815033,71.28.207.145,0,False,0,False,"{'num_transactions': 708, 'total_amount': 15852163.632110061, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1406863.6260543421}",False
TX_f80b4d9c,CUST_60472,5897776620066829,2024-09-30 00:00:21.395171+00:00,Travel,booking,Hotels.com,1197.86,GBP,UK,Unknown City,medium,Platinum Credit,False,Android App,mobile,7281d2e53d91da1dad94ee5eefc47268,209.77.31.53,0,True,0,False,"{'num_transactions': 936, 'total_amount': 44925957.1853838, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 3949919.9568814416}",False
TX_5595b6f4,CUST_79361,6219138778768079,2024-09-30 00:00:21.797955+00:00,Grocery,online,Walmart Grocery,47292.58,JPY,Japan,Unknown City,medium,Gold Credit,False,Safari,web,032b22b43e1beca9d9d5300c0afa7921,192.99.224.88,0,False,0,False,"{'num_transactions': 143, 'total_amount': 8100926.095511136, 'unique_merchants': 71, 'unique_countries': 10, 'max_single_amount': 581757.4469416329}",False
TX_3d870ffc,CUST_26956,6172664764661163,2024-09-30 00:00:23.115540+00:00,Entertainment,gaming,Epic Games,109.54,GBP,UK,Unknown City,medium,Basic Debit,False,Chrome,web,391484936d7f6bca5f61a0218e6c68f7,146.90.65.140,0,True,0,False,"{'num_transactions': 784, 'total_amount': 14681463.221979244, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 986246.5024516722}",False
TX_984968d0,CUST_84040,5107516616257966,2024-09-30 00:00:25.118171+00:00,Retail,physical,Home Depot,1894.32,AUD,Australia,Unknown City,medium,Basic Debit,True,NFC Payment,pos,a04ff5a0da5673007be71242c86c8fd8,172.145.173.30,1,False,0,False,"{'num_transactions': 673, 'total_amount': 69918439.23301254, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 1775856.570783641}",True
TX_63f23569,CUST_54711,375108420292409,2024-09-30 00:00:25.674724+00:00,Entertainment,events,AMC Theaters,196086.12,NGN,Nigeria,Unknown City,medium,Premium Debit,False,Edge,web,a2b2c64d8c6f58b74516ee893712e805,175.27.157.167,0,True,0,False,"{'num_transactions': 1529, 'total_amount': 234259459.69452316, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2022215.6577069866}",False
TX_44db74bc,CUST_97591,5392389396302699,2024-09-30 00:00:27.348964+00:00,Retail,online,Etsy,22866.48,BRL,Brazil,Unknown City,medium,Platinum Credit,False,Firefox,web,1b62ff22e70a7197fa1f3f34fa2b7f65,156.17.58.33,1,False,0,False,"{'num_transactions': 867, 'total_amount': 30291746.060063463, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1816775.8112737888}",True
TX_24821859,CUST_88489,5806723024567143,2024-09-30 00:00:27.765342+00:00,Retail,physical,IKEA,803.95,BRL,Brazil,Unknown City,medium,Basic Credit,False,iOS App,mobile,1d36b622069db39116f3735c5ad46d2b,57.5.66.234,0,False,0,False,"{'num_transactions': 590, 'total_amount': 17961278.22247269, 'unique_merchants': 103, 'unique_countries': 12, 'max_single_amount': 2481915.341930262}",False
TX_f654b5a8,CUST_81662,6894767452898927,2024-09-30 00:00:28.758598+00:00,Retail,physical,Costco,48682.22,JPY,Japan,Unknown City,medium,Basic Debit,False,iOS App,mobile,d84dd59a1d92f7cc15c82b9044f04b52,125.125.5.32,1,False,0,False,"{'num_transactions': 222, 'total_amount': 7011553.465678616, 'unique_merchants': 87, 'unique_countries': 12, 'max_single_amount': 1461708.61470788}",False
TX_1eccbea7,CUST_67263,5599382715925382,2024-09-30 00:00:29.072027+00:00,Education,online,Coursera,2849.27,BRL,Brazil,Unknown City,medium,Gold Credit,False,Edge,web,bad152db0d9510dd92a11c8a74f83c5a,49.96.167.24,1,False,0,False,"{'num_transactions': 280, 'total_amount': 7254595.882193013, 'unique_merchants': 95, 'unique_countries': 12, 'max_single_amount': 977126.7612892842}",False
TX_e7fbaaed,CUST_34938,5122754057316675,2024-09-30 00:00:29.372674+00:00,Restaurant,fast_food,Taco Bell,50.55,EUR,Germany,Unknown City,medium,Gold Credit,False,Android App,mobile,551eb97a86436878d5a2a3ad9cf8e8e1,219.67.167.133,1,False,0,False,"{'num_transactions': 1563, 'total_amount': 316944279.2471888, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 4244514.792469481}",True
TX_eecf6c3b,CUST_67064,4906576640072944,2024-09-30 00:00:31.366348+00:00,Retail,online,Etsy,113801.86,RUB,Russia,Unknown City,medium,Platinum Credit,False,Firefox,web,bbd634d7212f40cd6be2394831e4cff5,52.35.83.239,0,False,0,False,"{'num_transactions': 88, 'total_amount': 8682655.570779005, 'unique_merchants': 54, 'unique_countries': 10, 'max_single_amount': 1455636.0985266757}",False
TX_305fc7f2,CUST_11637,5100333613887440,2024-09-30 00:00:31.615416+00:00,Entertainment,streaming,Spotify,15023.62,JPY,Japan,Unknown City,medium,Basic Credit,False,Edge,web,789b3ead1d4666a708d1f1c0efd58103,123.82.52.91,0,True,0,False,"{'num_transactions': 1501, 'total_amount': 80511648.18356277, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 4045100.1267581107}",False
TX_5cfc5980,CUST_26183,4068844001919119,2024-09-30 00:00:33.026053+00:00,Restaurant,premium,Capital Grille,360.46,USD,USA,San Antonio,medium,Premium Debit,False,iOS App,mobile,fb6efe6bfd9c30af9eb595895498957a,12.227.123.93,0,False,0,False,"{'num_transactions': 311, 'total_amount': 7829028.14226438, 'unique_merchants': 100, 'unique_countries': 12, 'max_single_amount': 2045680.543835251}",False
TX_f30a4799,CUST_69354,5753612665208104,2024-09-30 00:00:33.069177+00:00,Grocery,physical,Trader Joe's,353.16,USD,USA,Philadelphia,medium,Premium Debit,False,Chrome,web,7a2df8666781b3a76734c2ceec78b23f,213.136.170.156,0,False,0,False,"{'num_transactions': 754, 'total_amount': 18696094.68614001, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2203894.7157502947}",False
TX_9535a387,CUST_84592,6377830522299744,2024-09-30 00:00:33.655044+00:00,Travel,booking,Hotels.com,974.78,SGD,Singapore,Unknown City,medium,Premium Debit,False,Chrome,web,8d304f9e967a9ec5faec07df14b8820a,251.151.135.13,0,True,0,False,"{'num_transactions': 548, 'total_amount': 16031444.623404944, 'unique_merchants': 103, 'unique_countries': 12, 'max_single_amount': 1824408.7800689281}",False
TX_170a1afc,CUST_78662,6841388713846631,2024-09-30 00:00:34.256402+00:00,Healthcare,medical,Urgent Care,12313.59,BRL,Brazil,Unknown City,medium,Gold Credit,False,Chrome,web,d11b15429389a151b1cad52088427fd3,127.30.241.100,1,False,0,False,"{'num_transactions': 668, 'total_amount': 19076615.060975045, 'unique_merchants': 103, 'unique_countries': 12, 'max_single_amount': 1614038.3363884082}",True
TX_b801b470,CUST_79903,6799096125677377,2024-09-30 00:00:35.988383+00:00,Restaurant,premium,Capital Grille,463.49,USD,USA,San Antonio,medium,Premium Debit,False,Android App,mobile,8ed7da0bb597d747048f0bcab829e3c8,89.11.200.232,1,False,0,False,"{'num_transactions': 1488, 'total_amount': 46476650.56272326, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 3964807.1367382123}",False
TX_5ecd5731,CUST_33762,4361805686942308,2024-09-30 00:00:36.158021+00:00,Travel,transport,Careem,163.69,CAD,Canada,Unknown City,medium,Premium Debit,False,Edge,web,41699df26cfeb7798b39de377a6a13dc,46.42.17.8,0,True,0,False,"{'num_transactions': 828, 'total_amount': 21362377.35796729, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 3266587.5958108436}",False
TX_ae0e0a18,CUST_28619,4927000937791194,2024-09-30 00:00:37.734117+00:00,Restaurant,fast_food,Wendy's,311.02,RUB,Russia,Unknown City,medium,Gold Credit,False,Safari,web,ea616baa4aef26b62c56ea5e024f305d,149.23.89.75,1,False,0,False,"{'num_transactions': 749, 'total_amount': 28423276.135242824, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 2688325.3631998524}",True
TX_dda0eeec,CUST_36753,5565649895820785,2024-09-30 00:00:38.969788+00:00,Retail,physical,Costco,641.2,SGD,Singapore,Unknown City,medium,Premium Debit,False,Firefox,web,8ac2c7a9fc68478bfd6614cf3db66ee7,143.100.105.113,1,False,0,False,"{'num_transactions': 1206, 'total_amount': 40997218.95252803, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 4808310.412409823}",False
TX_652c6cb8,CUST_10335,5691463675938867,2024-09-30 00:00:39.409240+00:00,Retail,physical,Macy's,191.76,EUR,Germany,Unknown City,medium,Basic Debit,False,Chrome,web,9b8353ab4814199aca8d5b74f363df52,254.223.80.200,0,False,0,False,"{'num_transactions': 1500, 'total_amount': 41970822.83885426, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2496193.391595965}",False
TX_b2a7d31c,CUST_24486,6232312491067076,2024-09-30 00:00:39.640275+00:00,Retail,online,eBay,548.64,GBP,UK,Unknown City,medium,Gold Credit,False,Edge,web,3f78779c0b05dca8c781ec174dcb2823,38.68.38.171,0,False,0,False,"{'num_transactions': 1183, 'total_amount': 38981734.00498202, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 3960545.0847324757}",False
TX_f1b1c47b,CUST_13443,5923978083885384,2024-09-30 00:00:40.563229+00:00,Education,online,Udemy,72148.62,NGN,Nigeria,Unknown City,medium,Basic Debit,False,Safari,web,48956de027a5c742f856d694df88f652,136.77.127.63,0,False,0,False,"{'num_transactions': 1495, 'total_amount': 161702985.5642763, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1757017.2950349944}",False
TX_d9abe04d,CUST_14537,5617812907953501,2024-09-30 00:00:42.564879+00:00,Retail,physical,Target,185248.38,JPY,Japan,Unknown City,medium,Platinum Credit,False,iOS App,mobile,fe6cb1550a57f1cac7d53a321f670bf2,87.104.176.173,0,False,0,False,"{'num_transactions': 615, 'total_amount': 80831653.83382228, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 3168129.0282645538}",False
